,Are You Lost?,Sounan desu ka?,YURI,,No,,https://slow.pics/c/XMsB6TkD
,Aria the Avvenire,,Cait-Sidhe,,No,,
,Aria the Scarlet Ammo,Hidan no Aria,AC,,Yes,AC is Yousei+UTW for normal and sergey+Coalgirls for AA.,
,Arifureta: From Commonplace to World's Strongest,Arifureta Shokugyou de Sekai Saikyou,OZR,NH,Yes,OZR is BadAnime video+Astral subs. NH is BadAnime with dual audio,
,Armor Shop for Ladies & Gentlemen,Otona no Bouguya-san,Impatience (WEB),,No,,
,Arte,,moscowgolem,,No,,
,Ascendance of a Bookworm,"Honzuki no Gekokujou: Shisho ni Naru Tame
ni wa Shudan wo Erandeiraremasen ",,LostYears (WEB),Yes ,No decent BD releases yet. Grab GJM eps if you don't want dual audio. ,
,Asobi Asobase - workshop of fun -,Asobi Asobase,Senjou,,No,Senjou is Seicher+qwert,https://slow.pics/c/IWNEG9Gt
,Assassination Classroom,Ansatsu Kyoushitsu,"S1: MK
S2: ASC",,Yes,,https://slow.pics/c/GzBxvwMp
,Assassins Pride,,Pog42,LostYears (WEB),No | Yes,Pog42 is moscowgolem + GSK_kun. LY is GSK_kun with dual audio,https://slow.pics/c/TjpYaRw2
,Assault Lily: BOUQUET ,,Raws-Maji+ThiccThighs,Mux-Soap,No,Mux-Soap is Raws-Maji + official subs.,
,Asteroid in Love,Koisuru Asteroid,KOSMOS,Kawaiika,No,"Kawaiika-Raws video with restyled subs (Horriblesubs) with added Karaoke and 
lyrics on OP/ED from Butter/TSCamp.
Includes Erai multisubs.",
,Astra Lost in Space,Kanata no Astra,NH,ZOIO,Yes | No,"ZOIO is Owlolf+Astral
NH is ZOIO + dub",https://slow.pics/c/KYtKOygO
,At The Mercy of The Sky,Sora no Manimani,YURI,,No,YURI is sergey+AnonE/Koharubi,
,Atelier Escha & Logy: Alchemists of the Dusk Sky,"Escha & Logy no Atelier: 
Tasogare no Sora no Renkinjutsushi",Moe,,No,Moe is Yousei with Underwater/FFF and Doki with edits,
,Attack on Titan,Shingeki no Kyojin,"S1: SCY
S2: Arid
S3: SCY
OVA: Baws","
S3: neko-kBaraka
S4: BlurayDesuYo (x265)
/LostYears (WEB)
",Yes | No,"Arid is SCY with kBaraka subs added.
Wait for SCY BD for S4. BDY has the BD fixes and more detail but isn't debanded
properly. LY is SCY with dual audio.
Saizen OVAs are TV source so they have darkening in action scenes but the detail 
outweighs that. If you don't like the darkening then go for Kawaiika.
Baws re-encoded TV video for OVA 1 and 4-5. A version with untouched video is
uploaded here","S3: https://slow.pics/c/zZ2w9wmp
S4: https://slow.pics/c/Aw4d10Nj"
,Azumanga Daioh,,Yurasyk+(?) subs,km+(?) subs,,,
,Azur Lane,,GSK_kun,,Yes,,
,B: The Beginning,,KH,,Yes,KH is neko+GSK_kun,
,B.B. Fish,,Orphan,,No,,
,Baby Steps,,HorribleSubs,,No,No BDs,
,Babylon,,UQW,,No,Official subs,https://slow.pics/c/1hiHDpRi
,Baccano!,,SCY,,Yes,,
,Baki (2018),,"S1: DragsterPS
S2: -KS-",,Yes,,
,Bakuman,,Pog42,,No,,
,Bakuon!!,,Geonope,,No,,
